Title,URL,HTML,取得日
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_shinagawaStation_report.pdf,,2023-06-27 20:25:08
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_takesiba_report.pdf,,2023-06-27 20:25:09
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_ootemachu-marunouchi_report.pdf,,2023-06-27 20:25:10
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_haneda_report.pdf,,2023-06-27 20:25:10
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_ootemachiBuilding_report.pdf,,2023-06-27 20:25:11
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_hotel_report.pdf,,2023-06-27 20:25:12
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/hotel_result_summary.pdf,,2023-06-27 20:25:13
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_takeshibaPortCity_report.pdf,,2023-06-27 20:25:13
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/takeshibaPortCity_result_summary.pdf,,2023-06-27 20:25:14
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_hanedaInovationCity_report.pdf,,2023-06-27 20:25:15
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/haneda_result_summary.pdf,,2023-06-27 20:25:15
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_takesibaTerminal_report.pdf,,2023-06-27 20:25:16
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/takeshibaTerminal_result_summary.pdf,,2023-06-27 20:25:17
