Title,URL,HTML,取得日
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_shinagawaStation_report.pdf,,2023-06-27 18:23:50
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_takesiba_report.pdf,,2023-06-27 18:23:51
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_ootemachu-marunouchi_report.pdf,,2023-06-27 18:23:52
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_haneda_report.pdf,,2023-06-27 18:23:53
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2019_ootemachiBuilding_report.pdf,,2023-06-27 18:23:54
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_hotel_report.pdf,,2023-06-27 18:23:55
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/hotel_result_summary.pdf,,2023-06-27 18:23:56
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_takeshibaPortCity_report.pdf,,2023-06-27 18:23:57
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/takeshibaPortCity_result_summary.pdf,,2023-06-27 18:23:58
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_hanedaInovationCity_report.pdf,,2023-06-27 18:23:59
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/haneda_result_summary.pdf,,2023-06-27 18:24:00
実証概要（PDF）,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/2020_takesibaTerminal_report.pdf,,2023-06-27 18:24:01
検証結果サマリ,https://www.digitalservice.metro.tokyo.lg.jp/innovativeprojects/pdf/takeshibaTerminal_result_summary.pdf,,2023-06-27 18:24:02
